"Section","Section.name","SIC2dg1","Division.name","Group","Group.name","Class","Class.name","SectionAbb"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",204,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",2042,"Manufacture of perfumes and toilet preparations","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",205,"Manufacture of other chemical products",2051,"Manufacture of explosives","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",205,"Manufacture of other chemical products",2052,"Manufacture of glues","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",205,"Manufacture of other chemical products",2053,"Manufacture of essential oils","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",205,"Manufacture of other chemical products",2059,"Manufacture of other chemical products n.e.c.","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",206,"Manufacture of man-made fibres",2060,"Manufacture of man-made fibres","Manufacturing"
"C","Manufacturing",21,"Manufacture of basic pharmaceutical products and pharmaceutical preparations",211,"Manufacture of basic pharmaceutical products",2110,"Manufacture of basic pharmaceutical products","Manufacturing"
"C","Manufacturing",21,"Manufacture of basic pharmaceutical products and pharmaceutical preparations",212,"Manufacture of pharmaceutical preparations",2120,"Manufacture of pharmaceutical preparations","Manufacturing"
"C","Manufacturing",22,"Manufacture of rubber and plastic products",221,"Manufacture of rubber products",2211,"Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres","Manufacturing"
"C","Manufacturing",22,"Manufacture of rubber and plastic products",221,"Manufacture of rubber products",2219,"Manufacture of other rubber products","Manufacturing"
"C","Manufacturing",22,"Manufacture of rubber and plastic products",222,"Manufacture of plastics products",2221,"Manufacture of plastic plates, sheets, tubes and profiles","Manufacturing"
"C","Manufacturing",22,"Manufacture of rubber and plastic products",222,"Manufacture of plastics products",2222,"Manufacture of plastic packing goods","Manufacturing"
"C","Manufacturing",22,"Manufacture of rubber and plastic products",222,"Manufacture of plastics products",2223,"Manufacture of builders’ ware of plastic","Manufacturing"
"C","Manufacturing",22,"Manufacture of rubber and plastic products",222,"Manufacture of plastics products",2229,"Manufacture of other plastic products","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",231,"Manufacture of glass and glass products",2311,"Manufacture of flat glass","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",231,"Manufacture of glass and glass products",2312,"Shaping and processing of flat glass","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",231,"Manufacture of glass and glass products",2313,"Manufacture of hollow glass","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",231,"Manufacture of glass and glass products",2314,"Manufacture of glass fibres","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",231,"Manufacture of glass and glass products",2319,"Manufacture and processing of other glass, including technical glassware","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",232,"Manufacture of refractory products",2320,"Manufacture of refractory products","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",233,"Manufacture of clay building materials",2331,"Manufacture of ceramic tiles and flags","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",233,"Manufacture of clay building materials",2332,"Manufacture of bricks, tiles and construction products, in baked clay","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",234,"Manufacture of other porcelain and ceramic products",2341,"Manufacture of ceramic household and ornamental articles","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",234,"Manufacture of other porcelain and ceramic products",2342,"Manufacture of ceramic sanitary fixtures","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",234,"Manufacture of other porcelain and ceramic products",2343,"Manufacture of ceramic insulators and insulating fittings","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",234,"Manufacture of other porcelain and ceramic products",2344,"Manufacture of other technical ceramic products","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",234,"Manufacture of other porcelain and ceramic products",2349,"Manufacture of other ceramic products","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",235,"Manufacture of cement, lime and plaster",2351,"Manufacture of cement","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",235,"Manufacture of cement, lime and plaster",2352,"Manufacture of lime and plaster","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",236,"Manufacture of articles of concrete, cement and plaster",2361,"Manufacture of concrete products for construction purposes","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",236,"Manufacture of articles of concrete, cement and plaster",2362,"Manufacture of plaster products for construction purposes","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",236,"Manufacture of articles of concrete, cement and plaster",2363,"Manufacture of ready-mixed concrete","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",236,"Manufacture of articles of concrete, cement and plaster",2364,"Manufacture of mortars","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",236,"Manufacture of articles of concrete, cement and plaster",2365,"Manufacture of fibre cement","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",236,"Manufacture of articles of concrete, cement and plaster",2369,"Manufacture of other articles of concrete, plaster and cement","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",237,"Cutting, shaping and finishing of stone",2370,"Cutting, shaping and finishing of stone","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",239,"Manufacture of abrasive products and non-metallic mineral products n.e.c.",2391,"Production of abrasive products","Manufacturing"
"C","Manufacturing",23,"Manufacture of other non-metallic mineral products",239,"Manufacture of abrasive products and non-metallic mineral products n.e.c.",2399,"Manufacture of other non-metallic mineral products n.e.c.","Manufacturing"
"C","Manufacturing",24,"Manufacture of basic metals",241,"Manufacture of basic iron and steel and of ferro-alloys",2410,"Manufacture of basic iron and steel and of ferro-alloys","Manufacturing"
"C","Manufacturing",24,"Manufacture of basic metals",242,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",2420,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","Manufacturing"
"C","Manufacturing",24,"Manufacture of basic metals",243,"Manufacture of other products of first processing of steel",2431,"Cold drawing of bars","Manufacturing"
"C","Manufacturing",24,"Manufacture of basic metals",243,"Manufacture of other products of first processing of steel",2432,"Cold rolling of narrow strip","Manufacturing"
"C","Manufacturing",24,"Manufacture of basic metals",243,"Manufacture of other products of first processing of steel",2433,"Cold forming or folding","Manufacturing"
"C","Manufacturing",24,"Manufacture of basic metals",243,"Manufacture of other products of first processing of steel",2434,"Cold drawing of wire","Manufacturing"
"C","Manufacturing",24,"Manufacture of basic metals",244,"Manufacture of basic precious and other non-ferrous metals",2441,"Precious metals production","Manufacturing"
"C","Manufacturing",24,"Manufacture of basic metals",244,"Manufacture of basic precious and other non-ferrous metals",2442,"Aluminium production","Manufacturing"
"C","Manufacturing",24,"Manufacture of basic metals",244,"Manufacture of basic precious and other non-ferrous metals",2443,"Lead, zinc and tin production","Manufacturing"
"C","Manufacturing",24,"Manufacture of basic metals",244,"Manufacture of basic precious and other non-ferrous metals",2444,"Copper production","Manufacturing"
